Time,oscIndex1_20190603_slice7,phaseNumber_20190603_slice7,oscIndex1_20190603_slice9,phaseNumber_20190603_slice9,oscIndex1_20190604_slice2,phaseNumber_20190604_slice2,oscIndex1_20190604_slice3,phaseNumber_20190604_slice3,oscIndex1_20190604_slice4,phaseNumber_20190604_slice4,oscIndex1_20190604_slice7,phaseNumber_20190604_slice7,oscIndex1_20190606_slice1,phaseNumber_20190606_slice1,oscIndex1_20190606_slice2,phaseNumber_20190606_slice2,oscIndex1_20190606_slice3,phaseNumber_20190606_slice3,oscIndex1_20190607_slice4,phaseNumber_20190607_slice4
22 min,0.924171824524348,2,0.926821929745205,2,0,2,0.873339954816195,2,0.980007873916403,2,0.990688414360179,2,0.687388970964011,2,0.912845657096172,2,0.952492071741563,2,0.994905040866172,2
23 min,0.942670095354159,2,0.970436996909836,2,0.998025966257282,2,0.909789109213084,2,0.97007153591796,2,0.993243931435494,2,0.654022046284429,2,0.964694488663774,2,0.944059530229902,2,0.995935958420185,2
24 min,0.936802054141013,2,0.946774221159758,2,0.993230213626217,2,0.868848611105075,2,0.97264973829625,2,0.995681990789176,2,0.653160178705075,2,0.898533772592225,2,0.941437602658083,2,0.994710613285413,2
25 min,0.93754438241016,2,0.983211497466705,2,1,2,0.917028376129138,2,0.971791073286108,2,0.982460352997573,2,0.693030902519198,2,0.958362207118854,2,0.953858444379906,2,0.99427559883641,2
26 min,0.936905198247204,2,0.962114861831976,2,0.997252131646033,2,0.916318773726194,2,0.929443012465373,2,0.992650037682383,2,0.637315440223312,2,0.955506600095554,2,0.97837589804113,2,0.999219563182593,2
27 min,0.931291373580438,2,0.988671391475001,2,0.984931314829034,2,0.880568581903728,2,0.972664307143217,2,0.982597579924704,2,0.610288074563906,2,0.962966085259823,2,0.983365436956798,2,0.997298860241231,2
28 min,0.946008877165182,2,0.962994189056847,2,0.993106854245084,2,0.871936970332979,2,0.973901232977806,2,0.996056850898545,2,0.786172446661641,2,0.934015469867266,2,0.972172842234333,2,0.997923385092945,2
29 min,0.941812787074653,2,0.979069889673938,2,0.993870863261548,2,0.904736293062693,2,0.79181713514572,2,0.997189986840675,2,0.323625985329332,2,0.94580920489567,2,0.944830545866034,2,0.996251400239183,2
30 min,0.935979588351395,3,0.961194305551795,3,0.996456771696993,3,0.903689688133978,3,0.970785190983264,3,0.99107774661146,3,0.840089772782372,3,0.939179568751839,3,0.978942483349521,3,0.996347641032557,3
31 min,0.895144274820765,3,0.889388166992803,3,1,3,0.928363707465212,3,0.96667166549392,3,0.973825447270877,3,0.713807413349604,3,0.934159131412502,3,0.953905667710119,3,1,3
32 min,0.935265589956317,3,0.961104070705236,3,1,3,0.803758446922509,3,0.925032537234337,3,0.966038422644289,3,0.75145842244424,3,0.957468416375417,3,0.993532436222789,3,0.998133146898722,3
33 min,0.911236220140926,3,0.968930143992612,3,1,3,0.89475764137065,3,0.879605958012123,3,0.979233242664289,3,0.761774761568437,3,0.957429589602736,3,0.954374762377679,3,0.996279463111503,3
34 min,0.935114831000589,3,0.957246426625256,3,1,3,0.92798483500222,3,0.972111768996781,3,0.980743374663003,3,0.78544655671498,3,0.936291539476829,3,0.975362351776784,3,0.990538084500422,3
35 min,0.957158544961859,3,0.985925615367376,3,0.999262316267537,3,0.918154678542427,3,0.944278129875954,3,0.979943931971613,3,0,3,0.923690189134365,3,0.973665935580659,3,0.994950172413998,3
36 min,0.937768180862431,3,0.986529503313725,3,0.998690188144966,3,0.952500522098555,3,0.967296811739877,3,0.993978142896605,3,0.747475413206215,3,0.938798285167277,3,0.958132192208824,3,0.998795283500643,3
37 min,0.917877725445429,3,0.967583992695574,3,0.99946157513345,3,0.920161754870901,3,0.964402311798901,3,0.971584707023807,3,0,3,0.93525103315013,3,0.944285987805749,3,0.998560623005345,3
38 min,0.898497060172498,3,0.949794019619519,3,0.986516242362629,3,0.87331916361499,3,0.927783894323425,3,0.97762599203831,3,0.900098025305673,3,0.964392045817197,3,0.983194438636101,3,0.994292522748625,3
39 min,0.927675457244605,3,0.956217442880409,3,0.99918971981096,3,0.967989536476563,3,0.95613260737385,3,0.981540391130147,3,0.790181844393066,3,0.316249256193451,3,0.949399942664915,3,0.99875980842085,3
40 min,0.906493541453834,3,0.970624678575402,3,1,3,0.812920877958645,3,0.979214189969438,3,0.988876385922757,3,0,3,0,3,0.984680382300253,3,0.989842452087314,3
41 min,0.88943424144987,3,0.999414068913195,3,1,3,0.915228674817706,3,0.934408810177647,3,0.979374205722971,3,0.809806026926836,3,0,3,0.965283138047398,3,0.997215647340617,3
42 min,0.912029736817874,3,0.993453458745721,3,0.998642487812072,3,0.862386202268578,3,0.968593940712154,3,0.991274784031727,3,0,3,0.929548357830135,3,0.969016851498277,3,0.991147677002003,3
43 min,0.949572620886454,3,1,3,0.98938973197991,3,0.87743648330644,3,0.948812319814356,3,0.99050669802025,3,0,3,0.901736190131413,3,0.950803265777191,3,0.988156015468506,3
44 min,0.928593379814424,3,0.999352434703664,3,1,3,0.809622195334058,3,0.98408584867633,3,0.98094772940749,3,0,3,0.909510942322955,3,0.946783500565226,3,0.993011913622285,3
45 min,0.913384931399349,3,0.987233165505225,3,1,3,0.900636216244233,3,0.970874072354775,3,0.983596119289132,3,0,3,0.938743452749137,3,0.931166753482209,3,0.99549437309472,3
46 min,0.92959840759444,3,0.973342551297161,3,1,3,0.881916678712859,3,0.937731787791605,3,0.990992557263273,3,0.822968328026425,3,0.961400907657348,3,0.880557342452342,3,0.996311646746132,3
47 min,0.932082476677868,3,0.98670294070722,3,0.997580513638352,3,0.363255848488757,3,0.930702154272316,3,0.99205150803995,3,0,3,0.9603268801148,3,0.950914858973471,3,0.999150692102864,3
48 min,0.90231597411521,3,0.988586206668219,3,1,3,0,3,0.973140585722105,3,0.983731389698589,3,0,3,0.96244920952446,3,0.86114849346931,3,0.997329829333858,3
49 min,0.905989612610754,3,0.998869611661487,3,1,3,0,3,0.939871961058943,3,0.988418591441245,3,0,3,0.916247464552909,3,0.93035170646868,3,0.999491035925593,3
