Time,nSpikesPerBurst_20190603_slice7,phaseNumber_20190603_slice7,nSpikesPerBurst_20190603_slice9,phaseNumber_20190603_slice9,nSpikesPerBurst_20190604_slice2,phaseNumber_20190604_slice2,nSpikesPerBurst_20190604_slice3,phaseNumber_20190604_slice3,nSpikesPerBurst_20190604_slice4,phaseNumber_20190604_slice4,nSpikesPerBurst_20190604_slice7,phaseNumber_20190604_slice7,nSpikesPerBurst_20190606_slice1,phaseNumber_20190606_slice1,nSpikesPerBurst_20190606_slice2,phaseNumber_20190606_slice2,nSpikesPerBurst_20190606_slice3,phaseNumber_20190606_slice3,nSpikesPerBurst_20190607_slice4,phaseNumber_20190607_slice4
38 min,6.80851063829787,3,9.88888888888889,3,5.90909090909091,3,11.6923076923077,3,13.5294117647059,3,13.4666666666667,3,22.4583333333333,3,16.7222222222222,3,11.1818181818182,3,18.1363636363636,3
39 min,7.53658536585366,3,13.1666666666667,3,7.7,3,9.51612903225806,3,13.6296296296296,3,13.7272727272727,3,31.6111111111111,3,17,3,8.11111111111111,3,21.3684210526316,3
40 min,7.5,3,7.23076923076923,3,7.78947368421053,3,11,3,14.6,3,11.4375,3,53.7,3,NaN,3,12.1052631578947,3,13.4583333333333,3
41 min,8.6,3,13,3,6.73684210526316,3,9.85714285714286,3,12.1739130434783,3,11.8,3,44.3846153846154,3,4.2,3,11.3076923076923,3,14.5,3
42 min,9.14285714285714,3,9.11111111111111,3,5,3,13,3,14.7272727272727,3,11.5,3,75.625,3,5.5,3,7.68181818181818,3,17.4285714285714,3
43 min,11.3243243243243,3,6.81818181818182,3,6.46666666666667,3,10,3,11.6315789473684,3,14,3,23.5,3,6.68421052631579,3,9.43478260869565,3,13,3
44 min,9.02222222222222,3,11.5714285714286,3,6,3,9.05555555555556,3,12.4358974358974,3,14.2,3,31.8571428571429,3,10.8181818181818,3,8.26666666666667,3,14.8,3
45 min,7.43055555555556,3,9.5,3,6.77272727272727,3,14.5333333333333,3,15.4705882352941,3,13.7857142857143,3,24.1034482758621,3,10.9677419354839,3,6.76190476190476,3,14.8095238095238,3
46 min,6.46774193548387,3,9.875,3,8.58333333333333,3,11.4117647058824,3,11.7647058823529,3,17,3,60.1818181818182,3,10.525,3,6.41666666666667,3,18.4166666666667,3
47 min,8.70833333333333,3,10.2,3,6.77777777777778,3,6.70588235294118,3,15.8333333333333,3,12.2727272727273,3,45.6428571428571,3,17.7857142857143,3,8,3,20.8636363636364,3
48 min,6.95918367346939,3,8.5,3,4.91304347826087,3,2,3,11.3181818181818,3,9.41176470588235,3,78.375,3,14.3157894736842,3,7.54166666666667,3,12.1,3
49 min,7.47058823529412,3,14,3,5.36842105263158,3,3.92,3,9.41935483870968,3,11.3333333333333,3,63.3,3,10.8653846153846,3,6.04761904761905,3,16.1481481481481,3
